,사고원인,재발방지대책 및 향후조치계획
17468,단차가 있는 구조물과 바로 옆 작업을 위해 설치한 이동식틀비계와의 사이 간격 및 높이가 달라 그 단차이로인하여 발을 헛디뎌 추락함.(추락높이1.5M),"해당 위치 작업발판 및 사다리 조성, 공사 공간 단차이 재점검 및 조치, 노동부 근로감독관의 현장 조사 및 사고공종에 대한 부분작업중지명령 통보, 안전문제 종합 지적 및 안전진단보고서 제출, 전문 안전진단 업체를 통한 전체 안전점검 재실시 및 건설사업관리단과 시공사에 대한 즉시 조치 계획, 전 공사 근로자에 대한 특별 안전교육 실시 등이 포함된 재발 방지 대책."
10903,설치가 완료되지않은 가설 비계에 근로자 임의로 계단을 설치하여 무리한 작업을 진행하던 중 미끄러져 발생한 재해,"설치가 완료되지 않은 가설 구조물 출입금지 조치, 이동통로 설치 완료, 관리감독자 교육 및 근로자 안전교육 실시 완료, 관리감독자가 작업장 내 위험요소 발견 시 조치 및 미조치 시 출입금지 조치 완료, 근로자의 무리한 작업 금지 및 위험작업 거부권을 통한 안전조치 후 작업 실시 완료, 작업 전 근로자 안전교육 철저 및 재해 발생 시 즉시 보고 체계 구축."
1256,1. 이동식 비계 사용 작업 전 해치발판(개폐형 안전발판) 미설치2. 이동식 비계 상하 이동식 사다리 발판 미사용3. 이동식 비계 작업발판 불안전한 상태 설치로 단차 발생,"재발 방지 및 향후 조치 계획으로 단기적 대책으로는 재해 발생 위험성 평가를 통해 위험요인 및 개선대책 도출, 일일 작업 전 TBM 시 이동식 비계 사용 작업 안전수칙 준수 사항 전파가 포함되며, 장기적 대책으로는 정기안전교육을 통해 이동식 비계 사용 시 안전수칙 미준수 사고사례 전파 및 작업발판 설치 상태에 대한 관리감독자 확인 점검 철저가 필요하다."
39,주차장 램프 시스템비계 위에서 치장벽돌 쌓기 작업 중 작업도구를 가지러 비계발판에서 창호쪽으로 이동하던 중 미끄러지면서  비계와 발판 사이로 빠지면서 좌측 가슴부위를 창호 인방 모서리에 부딪힌 사고,"비계의 안전난간대 임의해체 금지, 안전난간대 해체 시 비계와 벽체 사이의 발빠짐이나 추락을 예방할 수 있는 작업발판 추가 설치, 비계 상부 작업자의 안전대 착용 및 고리체결 상태 유지, 사고 원인 조사에 따른 동종 재해 예방 대책에 대한 근로자 대상 안전교육 실시, 시공자의 안전관리업무 강화 지시 및 발주자/건설사업관리단 현장 안전점검 실시 예정."
17457,"보강작업을 위해선 사다리가 아닌 이동식 틀비계를 설치해 작업을 해야하나 사다리로 작업하여 미끄러져 떨어짐, 또한 작업도구 가지고 사다리를 오르내리면 안되나 작업도구를 들고 사다리를 올라가 미끄러져 떨어짐","관리감독자 지휘 아래 작업 실시 및 이동식 사다리 안전작업지침에 따른 근로자 안전교육 실시, 이동식 틀비계 작업 시 전도방지, 안전난간, 가새 등 사용규정에 맞도록 설치하고 근로자는 안전대 거치 및 개인 보호구 착용 철저, 이동식 사다리 사용 시 전도방지대 설치 및 2인 1조 작업, 최상부 및 3.5m 초과 작업 금지, 개인 보호구 착용 철저."
14211,손수례 를 사용한 적벽돌 운반시 과적으로 인한 무리한 작업으로  인근 가설비계 수직재와 부딪힘,"작업 전 위험요소 관리 및 안전대책 교육 실시, 개조된 손수레 사용 금지, 손수레 운반경로 내 장애물 제거 및 이상 유무 확인, 해당 공종에 대한 안전작업 교육 강화, 인력운반 및 손수레 작업 시 점검 및 확인 철저, 작업장소 주변 장애물 및 이동경로 육안 점검, 2인 1조 및 손수레 과적 금지 및 바퀴 등 부재의 이상 유무 확인 실시."
12541,순간 돌풍으로 인한 비계 전도,"가설비계 및 거푸집 조립 시 안전수칙 준수, 관리감독자의 철저한 감독, 동일 사고 방지를 위한 수시 안전교육 실시, 바람세기 10m/s 이상 발생 시 작업 중지, 동일지역 순간 돌풍에 대비한 비계 가새, 버팀대, 벽이음 등의 견고한 설치 및 상태 확인, 사고사례 전파, 정기 또는 수시 안전점검 시 가시설 설치 기준 준수 상태 확인."
16979,말비계 다리가 덮개가 없는 배관에 빠지면서 말비계가 균형을 잃어 작업자 떨어져 도기(양변기)에 부딪힘,"작업 전 현장 정리 정돈 및 오배수관 배수구 덮개 설치, 관리감독자 지휘 아래 말비계 사용 시 안전작업지침 근로자 안전교육 실시, 작업 전 전도 위험이 있는 경우 보강작업 실시 후 작업 시행, 말비계 미끄럼방지 장치 및 발끝막이판 등 설치 기준에 적합한 자재 사용 조치, 개인보호구 착용 및 거치 철저 조치."
17649,1)설치방법 부적합- 작업 전 위험요인(돌출부)사전 조치하지 않고 불안전한 자세로 작업2)작업 방법에 대한 안전교육 미흡- 비계 해체 작업 구간내의 파이프(돌출부) 위험요인 교육 미흡3)작업방법 인식부족- 안전시설물 충돌(협착 돌출부위) 수정요청 발행,"사전 작업장소 및 작업방법 수립, 위험요인 조치 후 작업 실시, TBM 활동 시 비계 해체 후 끝단부 정비 교육 철저, 비계 해체구간 작업 시 충돌 부위 사전 확인 철저, 작업구간 내 비계 해체 후 재해요인 정비 확인, 주기적인 현장 정리정돈 상태 점검 및 시정조치, 유사 재해 관련 근로자 전파교육 실시."
18864,상부로 비계파이프 운반 중에는 상하좌우 주변확인 후 실시하여야하나 근로자가 상부를 확인하지 못해 사고 발생.,"작업자 안전교육 철저 및 안전장비 착용 여부 확인, 자재 운반 시 작업반경 내 일반인 출입 금지, 자재 올릴 때 상하좌우 확인 필수 교육, 사고 발생 전파로 경각심 강화 및 안전 예방 조치, 건설공사안전관리 종합정보망 사용법 전파 및 홍보로 사고 발생 신고 지연 방지, 치료 완료 시까지 재해자 추적 관리."
21264,수원 농수산물도매시장 시설현대화사업 현장 수산동 지하 폐수처리조 벽체거푸집(유로폼)을 바닥에서 선조립 후 크레인으로 양중하여 설치하는 과정에서 거푸집이 재해자 몸쪽으로 움직여 거푸집을 잡고있던 왼쪽손과 시스템비계 기둥 사이에 협착되어 왼쪽 새끼손가락 두번째 마디가 골절,"작업자는 4인1조로 구성되어 작업지휘자와 신호수를 별도로 지정하며, 대형 벽체 거푸집 설치 작업 시 상하부 배치와 관리자 배치를 통해 소통을 강화하고, 거푸집의 위치조정을 크레인의 양중을 멈춘 상태에서 4인이 협업하여 진행하며, 유도 로프, 망치, 노루발 등의 도구 사용으로 재발 방지를 도모하는 방안."
2127,"고소작업대(시저형)또는 말비계,이동식비계사용을 권장하였으나 협소한공간이 아닌데도 불구하고 A형사다리사용, 안전화가아닌 안전장화를 착용하여 작업하여 미끄럼주의원인","협소한 공간이 아닌 경우 고소작업대(시저형), 말비계, 이동식 비계를 사용하고, 부득이하게 A형사다리를 사용할 경우 2인 1조 작업 및 사용 수칙 교육을 실시하며, 고소작업 근로자에 대한 특별 교육과 위험성 평가 협의체 회의에서 사고 사례 전파 교육을 통해 근로자의 안전 수칙 및 경각심을 높이는 조치."
11172,시스템비계조립중 횡대가 위에서 우측 어깨위로 떨어짐,"가설시설물 설치 시 자재적재 규정 준수, 2인 이상 작업 철저, 자재 이어받기 대화를 통한 작업, 무리한 작업 금지 특별 교육, 유해 위험 작업 시 특별 안전 교육 실시, 협력사 관리 감독자 교육 실시, 현장 정리 정돈 철저, 기능공 배치 철저 협력사 교육 및 관리의 재발 방지 대책과 향후 조치 계획."
23161,작업자가 비계작업발판 미설치 구간에서 무리하게 이동,"다중작업 간 정보공유 및 현장 안전관리 강화, 작업발판과 통로의 끝단부위 개구부 방호조치 준수, 페인트 등 인화성 물질 관리 철저, 안전수칙 준수 및 실질적인 교육을 통한 불안전한 행동 방지, 현장소장 주관 유사사례 재발방지 교육, 관련 시공사 근로자 특별안전교육, 안전사고에 대한 재발방지 대책 수립."
17969,<기술적 원인>＊ Pulley 드럼 주변 접근금지 시설물 설치 미흡Pulley 드럼 주변에 근로자가 접근하지 못하도록 접근금지시설물을 설치하여야 하나 미 설치함.＊ 신호체계 불량윈치 조작시(start/stop) 모든 동작에 대해 무전기를 통해 관련 근로자 모두에게 전파되고 확인되어야하나 재해자에게 무전기가 지급되지 않아 윈치 가동상태를 미인지함.＊근로자 불안전 행동와이어 조정 작업은 불필요하나 재해자가 임의로 Pulley 주변 비계발판 상부에서 재해자가 조정작업 진행(재해자 업무는 접근금지 통제 업무),"Pulley 드럼 주변 접근금지 시설 설치와 접근금지안내 표지 부착, Pulley 드럼 주변 감시 카메라 및 경고등 설치, 신호체계 개선을 통한 근로자 무전기 지급 및 정확한 신호체계 수립, 명일작업사전미팅 및 위험성 평가를 통한 구체적 Risk 도출, 그리고 전담 통제원 배치를 통한 안전교육 실시."
16722,"말비계 설치공간 미확보 및 안전벨트, 안전고리 미체결, 안전의식 결여 된 불안전한 행동","지속적인 안전교육을 통한 근로자의 안전의식 고취, 작업 전 관리감독자 주관하의 TBM을 통한 안전한 작업방법 및 주의사항 교육 실시, 작업발판 설치 시 관리감독자 확인 후 작업 실시, 고소 작업자 안전벨트 착용 및 안전고리 체결 철저, 작업발판 설치 시 관리감독자 확인 및 지속적인 관리 실시."
549,작업자 부주의로 인하여 보양비계 설치작업 중 철근사이로 발이 빠쪄 골절 및 인대파열 발생,"매일 아침 TBM 활동을 통해 각 공종 및 공정별 작업자들에게 일일 단위 위험성 평가 및 안전수칙을 전파하고, 작업자의 시야를 확보하며 안전한 환경에서 작업할 수 있도록 발판 등을 설치하는 조치와 무리한 작업 금지, 동일 공종 특별 안전보건 교육 실시, 관리감독자 배치 등의 향후 조치 계획."
11637,"근로자 자재 적재시 비계기둥에 기대어놓는 행위 발생, 작업시 부상위험이 가능한 불안전한 상태(근로자 간 작업반경 겹침)에서 근로자의 작업장소에 대한 사전파악 미흡","전 근로자 자재 임시적재, 보관, 이동 시 안전수칙 전파 및 작업장소에 상주하는 작업지휘자의 근로자 불안전 행동 통제와 향후 조치 계획으로 전 공종 TBM 시 작업장소 및 상황에 대한 사전설명 및 안전지도 실시 확인, 전 근로자 자재 적재 및 보관 시 세워쌓기 금지 지도 전파 및 준수 확인."
11335,수영장 시스템 비계 안전발판 운반 작업 중 작업중인 미고정 발판을 디뎌  높이 3.2미터 유아풀 아래로 추락하여 발생한 사고 임.,"근로자 안전의식 고취를 위한 교육 강화, 작업 투입 전 작업절차 및 이동동선 전달, TBM 유해위험요인 및 위험요소 사전 전달, 미끄럼 방지 조치 및 추락방지 시설물 보완 설치, 안전 관리 감독자의 현장 순찰 및 가설시설물 점검 강화, 작업근로자 안전교육 및 미끄럼 방지 안전발판 추가 설치."
10598,1.비계 자재 운반시 협착위험성 인지 미흡2.협착위험관련 근로자 전파교육 미흡3.자재 운반방법 및 위험성 숙지 미흡,"유해위험요인 재확인 및 부적합 사항 시정조치, 유사 작업 관련 특별안전교육 실시, 협착위험구간 안내 표지판 설치 및 근로자 전파, 작업위치 위험요인 재확인 및 부적합 사항 시정조치, 유사작업 근로자 대상 특별안전교육 실시, 작업전 작업위치 재확인 및 작업여건에 부합된 해체 방법 수립."
10534,사다리는 작업용도로 사용하지 아니하고 협소한 공간을 고려하여 작업공간에 맞는 비계를 별도 제작하여 작업하여야 했으나  10분 이내로 끝나는 경작업이라 미처 제작하지 못함.,"사다리를 작업용도로 금지하고 이동식 틀비계를 법적 기준에 맞게 설치하며 안전대 및 안전고리 체결 상태를 확인한 후 작업을 실시하고, 현장 내 근로자에 대한 유사재해 재발 방지를 위한 특별안전 교육을 실시하며, 정기적으로 재발 방지 이행 여부를 확인하고 현장 안전 점검을 실시하는 조치."
10843,위험요인 확인에 부주의한 근로자 황**씨가 비계발판 위에서 발을 헛디뎌 바닥으로 떨어짐,"산업안전보건법 시행령에 따른 기술지도계약 체결 및 총 8회의 기술지도 이행, 안전교육과 현장 작업장 환경 개선, 사고 현황 및 위험요인에 대한 안전 점검 실시, 미비 사항 보완 및 해체작업 표준 절차 준수, 비계 해체 등 위험 작업 시 올바른 작업 방법에 대한 근로자 안전교육 실시."
21878,외부비계 수직승하강을 위해 설치된 수직사다리에서의 이동은 개폐형 작업발판을 통해 이동하여야 하나 재해발생시 1단 작업발판에서는 개폐형 작업발판이 미설치되어 재해자가 수직사다리를 이용하기 위해서는 작업발판과 난간대 사이로 이동하여야하며 이 경우 재해자가 신체균형을유지하기 어려운 상태에 놓이게 되어 재해가 발생한 것으로추정됨,"외부비계 수직사다리 이동을 위한 개폐형 작업발판 설치, 작업지휘자의 배치 및 위험성 평가 실시를 통한 유해 위험요인 파악과 개선, 수직승강로상 개폐형 작업발판 설치 및 근로자의 안전한 통행을 위한 통로 확보 강화, 외부 강관비계의 점검 및 보완 조치 필요성이 강조된 사고 예방 대책."
1986,2023년 09월 06일 16시 30분경  kogas pipe rack 비계 하부 횡대설치 작업 종료 후 지상으로 내려오던 중 발을 헛디뎌 미끄러지면서 비계 파이프에 우측 겨드랑이 끼임.,"작업 전 sky 장비 또는 고소작업대, B/T 비계로 작업대 설치 및 자체 TBM을 통한 위험 작업사항 공유, 사고 사례에 대한 특별안전교육 실시로 안전의식 향상 및 동일사고 예방, 근로자가 매달려서 하는 작업 최소화 및 고소작업대와 sky 장비 이용, 작업장 주변 정리정돈 실시."
6801,떨어짐 및 낙하물 방지를 위한 시스템 비계의 수직방망 설치 미흡,"재발 방지 대책과 향후 조치 계획의 통합으로 낙하물 발생 위험장소에 안전시설물 설치, 비계 상부 자재 정리 및 청소, 비계 주변의 상하부 동시 작업 금지 및 출입금지구역 설정, 모든 작업공종에 대한 위험성 평가 및 TBM 실시, 작업계획서 검토 및 안전점검 수행이 이루어짐."
5820,"해당작업은 당일 작업계획에 없는 작업으로 작업자가 임의작업 진행으로 2023년 02월 02일 15시 10분 2403동 1,2,3호세대 필로티 날개벽 작업구간(호이스트 1호기 주변) 형틀공 최영배가 필로티 계단 옆 날개벽 거푸집 설치 작업 중 작업구간이 협소해 비계발판 바깥쪽으로 넘어가 외줄비계에 안전대를 걸고 작업 중 내려오는 호이스트에 외부피복 일부가 걸려 버티는 중 왼쪽 무릎 후방 인대가 파열되는 사고 발생 호이스트 사용중지 조치를 하지 않은 상태에서 불안전한 상태로 작업 중 판단 오류로(호이스트가 내려와도 문제가 없다고 판단) 내려오는 호이스트에 외부피복이 걸리면서 사고 발생","작업팀 전체 특별안전교육 실시, 해당 구간 SPOT 지정 및 안전팀 상주 작업, 호이스트 사용 중지 후 호이스트 상부 난간대와 외줄비계 횡대에 작업발판 설치로 작업공간 확보, 도면 오류 사항 사전 검토 후 작업 진행, 명일 작업사항 공유된 것 외 임의 작업 절대금지 지도."
6944,바닥에서 1.5미터 작업장 거푸집 벽면과 작업자 배면 시스템비계 거리 약 50cm로 작업공간 협소 및 거푸집중량물(가로60cm 세로120cm)로 보조자와 2인1조 작업하여야 하나 단독작업,"재발 방지 대책과 향후 조치 계획의 통합으로 작업 전 사전 답사 및 위험요인 제거, TBM 및 위험성 평가, 관리감독자의 철저한 안전관리, 작업 전후 정리정돈, 건설사업관리단과 협력업체 소장의 특별 교육 실시, 전 현장 안전관리 점검 및 근로자 교육 내용 검토가 이루어짐."
15134,2층 계단옹벽에서 철근배근 완료후 작업발판(말비계)에서 내려오던 중 넘어져서 왼쪽발목이 접질리면서 새끼발가락에 금이감(골절상). 4주진단(예상),"안전한 작업방법 및 재해사례 교육의 강화, TBM 활동을 통한 안전작업방법 및 안전의식의 강화, 작업장 불안전 요소의 점검 및 제거, 시공자와 안전관리담당자 및 책임건설사업관리기술인의 작업장 관리감독 활동의 강화, 그리고 건설현장 근로자 안전교육을 통한 현장관리의 강화."
639,형틀7명 1조 구성-  우수암거박스 현장 조립 설치중  동료가 던진 비계강관파이프가 재해자  옆구리 타박으로 재해 발생,"위험성 평가 및 TBM 철저 시행, 근로자 간 협업 강화 및 부주의 작업 금지, 작업 종료 후 근로자 건강상태 확인, 시공사 및 하도급 안전보건관리책임자의 현장 관리 감독, 안전관리자를 통한 근로자 작업 안전수칙 준수 교육 강화, 재해 발생 시 신속한 보고 체계 확립."
9295,비계발판 3층 높이에서 이동중 양손에 작업도구를 들고 있어 무게중심이 흐트러져 앞으로 급히 주저앉아 발생한 사고,"작업전 안전교육을 통한 사고 예방, 안전관리감독 강화, 외부작업 시 작업자 안전대책 관리 철저, 법정 안전교육 실시 강화, 관리감독자 및 현장소장의 수시 순회점검, 위험 부분에 대한 정리정돈 및 사전안내 시설 설치를 통한 근로자 재예 예방을 위한 종합적인 대책 마련."
18272,작업완료 후 BT틀비계 안전 난간을 정리하다 넘어지면서 유로폼 거푸집에 팔꿈치를 부딪힘,"BT틀비계 작업 시 2인 1조로 작업하고, 작업 전 현장 주변 정리정돈 후 작업을 실시하며, 철근공 작업 전 안전교육을 실시하는 재발 방지 대책과 사고 재발 방지 대책 회의 및 보고서 제출 후 건설사업관리단과 합동으로 수시 현장 점검을 실시할 예정인 향후 조치 계획."
1801,이동식비계(1.7m ) 상부에서 작업 후 이동식 비계를 통해 내려와야 하나 덕트설비를 밟고 내려오다 미끄러져 떨어짐,"작업 전 개인 보호구 작용 점검 및 시설물 점검, 관리 감독자 상주 하에 작업, 근로자 임의 작업 금지, 관리 감독자 및 근로자 특별 교육 실시, 관리자 및 근로자 특별 교육, 현장 정리 정돈 및 근로자 보호구 착용 점검, CM단 및 원도급사 현장 수시 점검 실시."
1221,시스템 비계 설치 후 낙하물 방지망 미설치작업 간섭으로 해체한 비계 수평재를 작업 종료후 복구 미흠발판 위 낙하 위험물 정리에 대한 관리자의 확인 미흡,"시스템 비계 설치 후 낙하물 방지망 설치 확인 철저, 비계발판에 방치된 자재 관리, 상하 동시 작업 방지를 위한 공정 관리와 향후 비계 설치 후 낙하물 방지망 설치, 작업 간섭으로 해체된 수평재 복구, 비계발판 상부 자재 방치 여부 및 정리정돈 상태 관리자 확인."
20072,현장내 비계설치시 안전보호구 착용을 하였지만 실제 작업 할때 불편함 때문에 안전벨트 고리를 강관비계에 걸고 작업을 하지 않아서 발생한 사고,"관리자가 현장 내 작업 시 위험 발생을 숙지하고 안전 시설물 설치 및 안전 보호구 착용을 철저히 하며, 근로자가 올바른 방법으로 작업하는지를 점검하고 안전에 대해 숙지시켜 위험 발생을 미연에 방지하기 위한 개인 보호구 착용 및 근로자 개인 보호구 사용 여부 점검."
13143,비계발판(옥상외부)에서 근로자 1명이 건물외부 지상으로 석재조각을 내리고 있었으며 인부 1명이 지나가다 석재조각에 맞아 두부열상을 입음,"외부기관 안전점검 후 즉시 시정 조치, 비계 낙하물 방지망 보완, 작업 시 안전교육 및 감시자 배치, 공종 간 작업일정 및 내용 공유, 안전시설 해체 시 안전관리자 승인 후 작업, 개인안전장구 지급 및 착용 철저, 사고 관련 특별 교육 실시 및 교육 결과 보고."
19773,작업장소의 협소함을 인지하고 조심해서 통행하여야 하나 작업자의 부주의로 시스템비계 부재에 오른쪽어깨가 충돌됨,"시스템비계 특성에 따른 좁은 작업현장 여건을 고려한 조명 및 통로 확보, 작업 전 시스템비계 및 주변 환경에 대한 안전 교육, 관리 감독자의 지속적인 현장 안전 관리, 작업장의 통로 확보 및 지속적인 현장 관리 감독, 작업 전 안전 교육 및 정리 정돈의 생활화."
1084,"좌측면 외부계단 철거중 자중이 외부로 쏠리며 낙하하고, 그에 따른 시스템비계 전도","전도된 시스템비계의 안전한 제거와 나머지 철거 부분에 대한 종로구청과의 협의를 통한 재시공 예정, SK 오피스텔 전도 부위 매직판넬 선 해체 후 전도 시스템 비계 지지대 설치 및 시스템 비계 해체, 전도된 시스템 비계의 완전 해체 후 종로구청 시공계획 수립."
15999,"대림상가 남측 엘리베이터 7번의 1층 출입구 상부 캐노피 설치 위치 실측 작업은 난간이 있는 외부시스템비계 작업발판 위에서 진행하므로 추락 위험은 적으나, 근로자가 추락한 사고","사고 조사 후 원인 분석과 안전한 작업을 위한 숙련공 배치, 안전관리자 입회 하의 작업 개시, 동종 재해 예방을 위한 전 근로자 안전사고 교육 실시, 재해 구간 안전 점검 및 안전 시설 보강, 해당 공종 사고 예방을 위한 숙련공 투입으로 이루어진 조치 계획."
