,ID,발생일시,사고인지 시간,날씨,기온,습도,공사종류,연면적,층 정보,인적사고,물적사고,공종,사고객체,작업프로세스,장소,부위,사고원인,재발방지대책 및 향후조치계획
50,TRAIN_00050,2023-12-28 오전 10:00,정규작업 -,맑음,5℃,60%,토목 / 상하수도 / 상수도,-,-,부딪힘,없음,토목 > 가설공사,가시설 > 시스템동바리,해체작업,상수도 / 내부,시스템동바리 / 바닥,시스템 동바리 해체 작업 중 재해자가 멍에를 받아서 안고 미끄러지면서 시스템 횡대에 왼쪽 갈비뼈를 부딪힘,작업방법 및 순서에 관한 교육 실시.
51,TRAIN_00051,2023-12-28 오전 09:50,정규작업 -,맑음,5℃,15%,건축 / 건축물 / 교육연구시설,"39,217㎡","지상 5층, 지하 1층","절단, 베임",없음,건축 > 철근콘크리트공사,기타 > 기타,절단작업,교육연구시설 / 외부,기타 / 상부(위),고속절단기가 정지하지 않은 상태에서 목재 제거를 시도하여 발생. (고속절단기 사용방법의 미숙),고속절단기 날의 회전이 완전히 멈춘 후 목재를 제거할 수 있도록 하는 안전교육 실시.
52,TRAIN_00052,2023-12-28 오전 09:50,정규작업 -,안개,3℃,60%,건축 / 건축물 / 자동차 관련시설,"5,166.01㎡","지상 1층, 지하 0층",떨어짐(2미터 이상 ~ 3미터 미만),낙하,건축 > 가설공사,가시설 > 기타 가시설,조립작업,자동차 관련시설 / 지붕,기타 가시설 / 상부(위),지붕 판넬 시공전 서리로 인해 미끄러져 떨어짐,지붕공사 시 낙하방지 및 추락방지망 설치와 아침 서리로 인한 미끄러움 방지를 위한 작업시간 변경을 통한 안전 확보.
60,TRAIN_00060,2023-12-27 오후 03:00,정규작업 -,맑음,5℃,50%,건축 / 건축물 / 교육연구시설,"7,935㎡","지상 5층, 지하 1층",넘어짐(기타),없음,건축 > 도장공사,시설물 > 건물,마감작업,교육연구시설 / 외부,건물 / 외부계단,"난간 도장시 불안전한 자세로 무리하게 도장작업을 진행하다가 사고가 발생함(상체를 숙이지 않고, 사다리를 이용하거나 틈 사이로 손을 집어넣어 작업이 가능한 상태였음)",사고사례 작업자 교육 실시와 난간대 도장작업 시 사다리 사용 조치에 따른 향후 작업자 통원치료 계획 및 산재처리 요청 대응 예정.
61,TRAIN_00061,2023-12-27 오후 03:00,정규작업 -,맑음,8℃,65%,건축 / 건축물 / 공동주택,106.81㎡,"지상 29층, 지하 2층",넘어짐(미끄러짐),없음,기계설비 > 기계설비공사,기타 > 기타,이동,공동주택 / 내부,기타 / 지하,"매일 아침TBM 시간에 현장 내 결빙 구간 미끄럼 위험에 관하여 전파 및 교육을 진행 하였으나, 작업자의 부주의한 행동으로 인해 발생",아침조회시간 및 각 공종별 TBM 시간에 사고사례를 전파하고 비슷한 재해가 발생하지 않도록 교육 실시.
69,TRAIN_00069,2023-12-27 오전 09:20,정규작업 -,맑음,1℃,79%,건축 / 건축물 / 공동주택,"73,953.91㎡","지상 29층, 지하 2층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,기타 > 기타,운반작업,공동주택 / 외부,기타 / 하부(아래),작업 중 철근 상부 결빙으로 인해 미끄러져 발등을 다침,"철근배근구간 실족방지망 추가 설치, 결빙구간 염화칼슘 포설, 해당공정 근로자 특별안전교육 실시."
73,TRAIN_00073,2023-12-26 오후 11:30,정규작업 -,맑음,-2℃,45%,건축 / 건축물 / 공동주택,"152,454㎡","지상 29층, 지하 3층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,기타 > 기타,이동,공동주택 / 내부,기타 / 바닥,내부 계단 현장 내 조도 미확보 및 결빙구간 방치로 인해 미끄러져 넘어지면서 어깨 탈골,"계단 내 조도 확보 및 결빙구간 삭제 조치, 작업자 사고내용 전파와 안전환경 제공 및 작업 전 작업환경 점검 실시 요청의 통합적 실행."
74,TRAIN_00074,2023-12-26 오후 07:00,정규작업 -,맑음,5℃,10%,건축 / 건축물 / 공동주택,"59,388.93㎡","지상 27층, 지하 3층",기타,없음,건축 > 철근콘크리트공사,기타 > 기타,타설작업,공동주택 / 내부,기타 / 상부(위),작업자 보호구 미착용상태로 작업(보안경 미착용),해당공종 근로자 관련내용 교육 실시와 콘크리트 배합물 비산 최소화를 위한 작업방법 개선.
75,TRAIN_00075,2023-12-26 오후 05:10,정규작업 -,맑음,8℃,90%,건축 / 건축물 / 공장,"977,427㎡","지상 8층, 지하 1층",끼임,없음,기계설비 > 가설공사,건설자재 > 자재,설치작업,공장 / 내부,자재 / 상부(위),타워크레인 부위 H빔 설치 시 작업공간이 부족하여 지그 끝단에  H빔을 올리고 작업 중 바깥으로 기울어지는 H빔을 잡으려다 왼쪽손목 협착,간섭이 발생하는 구간에 3Ton 크레인으로 양중하고 T/L 2대를 사용 설치하는 대책과 조치 계획.
80,TRAIN_00080,2023-12-26 오후 02:30,정규작업 -,흐림,4℃,53%,건축 / 건축물 / 업무시설,"63,268.24㎡","지상 20층, 지하 7층",넘어짐(미끄러짐),없음,기계설비 > 기계설비공사,건설자재 > 자재,운반작업,업무시설 / 내부,자재 / 오른손 손등,작업자 부주의로 보온재 이동중 바닥 보양천막에 미끄러져 넘어짐,자재운반 시 리프트 이용과 계단 이동 전 바닥 상태 확인을 위한 전파교육 실시.
90,TRAIN_00090,2023-12-26 오전 10:40,정규작업 -,맑음,7℃,45%,건축 / 건축물 / 공장,"30,741.07㎡","지상 2층, 지하 5층",떨어짐(3미터 이상 ~ 5미터 미만),없음,건축 > 금속공사,건설공구 > 사다리,설치작업,공장 / 내부,사다리 / 상부(위),사다리가 미끄러지지 않도록 2인1조 작업 및 하부에서 견고히 잡아주었어야 했으나 미흡했음.,사다리 사용금지 및 부득이 사용할 경우 사용수칙 준수와 관계법령에 따른 조치예정.
94,TRAIN_00094,2023-12-26 오전 09:30,정규작업 -,맑음,2℃,60%,건축 / 건축물 / 업무시설,"72,175.33㎡","지상 11층, 지하 5층",기타,없음,건축 > 철근콘크리트공사,질병 > 질병,운반작업,업무시설 / 내부,질병 / 통증,몰탈을 용기에 담아 1.2M 높이 발판에 올리려다 어깨에 통증을 느끼고 퇴근 후까지 통증이 지속됨,작업 전/중/후 수시로 스트레칭을 실시하고 소운반 작업 시 2인 1조 작업을 시행하는 방안.
99,TRAIN_00099,2023-12-26 오전 07:30,정규작업 -,흐림,-5℃,30%,건축 / 건축물 / 공동주택,"24,578.26㎡","지상 29층, 지하 4층",부딪힘,없음,건축 > 창호 및 유리공사,가시설 > 기타 가시설,이동,공동주택 / 내부,기타 가시설 / 바닥,작업자 보행중 전방주시 불량에 의한 발걸림에 의함 넘어짐 사고,작업 시작 전 보행 중 전방 주시에 대한 안전교육 강화와 방통막이턱 등 공사를 위한 바닥 보행 방해물에 위험표지 추가를 포함한 재발 방지 대책과 산업재해보상보험으로 처리 예정인 초진 결과 통원치료 4주간의 요양 필요에 대한 향후 조치 계획.
103,TRAIN_00103,2023-12-25 오후 03:30,정규작업 -,맑음,4℃,50%,산업환경설비 / 발전시설,-,-,끼임,없음,건축 > 금속공사,기타 > 기타,설치작업,/ HRSG 남측,기타 / 윈치와이어,사용하던 윈치와이어의 전원을 끄지 않은 상태로 정리 중 손가락 협착,"와이어 정리 시 근로자간 신호 전달 및 윈치 조작 멈춘 후 정리 실시, 윈치 사용 및 사용자 대상 수지협착 관련 사고사례 전파교육 실시, 윈치 작업 간 신호수 배치 및 구획 설정 실시하여 주변 타 근로자 접근 통제."
104,TRAIN_00104,2023-12-25 오후 02:00,휴일근무 -,강설,0℃,70%,건축 / 건축물 / 기타,"14,834㎡","지상 4층, 지하 2층",깔림,없음,건축 > 철근콘크리트공사,건설기계 > 지게차,운반작업,기타 / 외부,지게차 / 옆,휴일작업 금지날 임의로 현장 출입하여 자재정리정돈 및 현장 주변 야적장으로 지게차 운반작업중 지게발에서 자재가 떨어져 신호수의 발등에 상해를 입힘,장비 작업 시 일정 거리 확보와 자재를 파렛트에 고정 및 결속하여 상차하는 재발 방지 대책과 사업단을 통한 휴일 작업 금지 특별교육 및 신호수 특별교육 실시의 향후 조치 계획.
106,TRAIN_00106,2023-12-25 오후 02:00,정규작업 -,맑음,6℃,10%,건축 / 건축물 / 공동주택,"27,492.58㎡","지상 25층, 지하 4층",넘어짐(물체에 걸림),없음,건축 > 미장공사,부재 > 배관,이동,공동주택 / 내부,배관 / 바닥,하부 배관 걸림 위험 존재 사전 제거 미흡,바닥부분 걸림 위험 배관 등 별도 묶음 처리 및 시안성 표식과 전근로자 대상 재해사례 전파를 통한 유사사례 예방과 해당 현장 재해사례 예방조치 준수 여부의 지속 확인.
107,TRAIN_00107,2023-12-25 오전 10:30,정규작업 -,흐림,-4℃,0%,건축 / 건축물 / 공동주택,"94,898.75㎡","지상 23층, 지하 2층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,가시설 > 거푸집,이동,공동주택 / 외부,거푸집 / 바닥,빙결구간에 미끌려 넘어짐,"기상예보 확인 후 구역별 담당구간 지정 및 제설 작업 진행, 지속적인 근로자 안전교육 및 현장 점검 실시와 지속적인 현장 안전점검 실시."
112,TRAIN_00112,2023-12-24 오후 02:30,정규작업 -,맑음,-2℃,78%,건축 / 건축물 / 창고시설,"8,059.46㎡","지상 4층, 지하 0층",떨어짐(10미터 이상),없음,건축 > 가설공사,가시설 > 비계,설치작업,창고시설 / 외부,비계 / 고소,이동 중 안전벨트 고리 결속 해체,"안전교육, 위험성 평가 실시, 안전 진단, 안전 작업 계획서 작성 및 안전 지도사 검토를 포함한 재발 방지 대책과 향후 조치 계획으로 안전 진단, 안전 작업 계획서 작성 및 안전 지도사 검토 의뢰."
113,TRAIN_00113,2023-12-24 오전 11:00,정규작업 -,맑음,4℃,60%,산업환경설비 / 발전시설,-,-,끼임,없음,건축 > 철골공사,가시설 > 비계,설치작업,/ 내부,비계 / 바닥,1) 그라인더 타입 부적정 2) 협소구간 작업자세 불안정,"지면 반발력 약한 세라믹형 그라인더 사용, 협소구간 작업 점검 실시, 근로자 교육 실시."
115,TRAIN_00115,2023-12-23 오후 04:30,정규작업 -,맑음,-4℃,66%,건축 / 건축물 / 공동주택,"114,168㎡","지상 35층, 지하 3층",떨어짐(2미터 미만),없음,건축 > 도장공사,가시설 > 비계,마감작업,공동주택 / 내부,비계 / 옆,이동식 틀비계에서 내려오던 중 떨어짐,틀비계 해치발판 및 내부 승강용 사다리 설치와 조치계획 실시 확인을 통한 재발 방지 대책 마련.
123,TRAIN_00123,2023-12-23 오전 10:30,정규작업 -,맑음,-1℃,35%,건축 / 건축물 / 교육연구시설,"2,264.30㎡","지상 5층, 지하 0층",넘어짐(물체에 걸림),없음,건축 > 해체 및 철거공사,기타 > 건설폐기물,정리작업,교육연구시설 / 외부,건설폐기물 / 바닥,폐목상차를 준비하기위해 폐목을 정리하던중 작업자의 부주의로 폐목에 다리가 걸려 넘어지면서 손목을 짚어 손목 골절(실금),작업전 작업주위 정리정돈 실시 및 올바른 작업방법 교육실시.
125,TRAIN_00125,2023-12-23 오전 09:50,작업 전 -,흐림,-1℃,84%,토목 / 항만 / 기타,-,-,넘어짐(미끄러짐),없음,토목 > 토공사,기타 > 기타,준비작업,기타 / 외부,기타 / 바닥,결빙구간에서 보행중 미끄러져 넘어짐,작업장 및 통로 제빙조치와 결빙 또는 적설구간 작업 시 미끄럼방지용 아이젠 착용을 포함한 안전사고 예방대책 회의 실시.
136,TRAIN_00136,2023-12-22 오후 01:10,정규작업 -,맑음,-10℃,30%,건축 / 건축물 / 운수시설,"349,895㎡","지상 5층, 지하 2층",떨어짐(2미터 이상 ~ 3미터 미만),없음,건축 > 가설공사,가시설 > 비계,설치작업,운수시설 / 내부,비계 / 고소,작업자 부주의(비계 횡대 고정 미흡),비계 횡대 체결상태 점검.
139,TRAIN_00139,2023-12-22 오전 10:30,정규작업 -,흐림,-6℃,70%,건축 / 건축물 / 공장,"296,190㎡","지상 8층, 지하 1층",부딪힘,없음,전기설비 > 전기설비공사,기타 > 기타,운반작업,공장 / 내부,기타 / 바닥,모듈 양중 중 작업선에 걸려 넘어지는 분전반을 막으려다 발생,작업선 수직방향 설치와 해당 사고사례 TBM 공지 후 횡전개 실시.
143,TRAIN_00143,2023-12-22 오전 09:00,정규작업 -,맑음,-5℃,44%,토목 / 기타 / 부지조성,-,-,떨어짐(3미터 이상 ~ 5미터 미만),없음,토목 > 토공사,건설기계 > 덤프트럭,반출작업,부지조성 / 인접주변,덤프트럭 / 앞,차량 결함(브레이크 미작동),상하장소 변경 및 안전시설 보완을 통한 안전시공 이행계획.
145,TRAIN_00145,2023-12-22 오전 07:19,정규작업 -,맑음,0℃,50%,조경 / 숲,-,-,떨어짐(2미터 이상 ~ 3미터 미만),없음,기타 > 기타,건설기계 > 굴착기,운반작업,/ 사업장 외부 공영주차장,굴착기 / 바닥,지급받은 안전장구류 미착용 및 자재양중 중장비의 전방주시 소홀,"향후 수급인 선정 시 사고사망자 발생확인서 확인 등 산업재해 예방을 위한 안전보건조치를 이행할 수 있는 능력이 충분한 자와 도급계약 체결, 산업안전보건관리비 적정 계상 및 사용 여부 확인, 재해 예방 기술지도 이행 철저, 산재사고 재발 방지 대책 마련 및 사고 산재 처리 등 필요 행정절차 이행."
146,TRAIN_00146,2023-12-21 오후 04:20,정규작업 -,맑음,-11℃,60%,건축 / 건축물 / 업무시설,"72,175.33㎡","지상 11층, 지하 5층",넘어짐(미끄러짐),없음,전기설비 > 전기설비공사,기타 > 기타,설비작업,업무시설 / 내부,기타 / 바닥,결빙구간 이동 시 부주의,현장 내 결빙구간 얼음 제거와 모래 및 부직포 설치를 통한 재발 방지 대책.
152,TRAIN_00152,2023-12-21 오후 02:00,정규작업 -,맑음,10℃,65%,산업환경설비 / 환경시설 / 수처리설비시설,-,-,기타,없음,산업설비 > 가설공사,가시설 > 지지대,설치작업,수처리설비시설 / 내부,지지대 / 옆,1) 상호간의 신호체계가 미흡한 상태에서 작업 2) 손가락 끼임에 대한 인지 미흡,사고사례 근로자 교육 실시와 상호 간의 신호체계 확립을 통한 재발 방지 대책 및 재해자 회복 여부 확인과 근로자 교육 실시를 포함한 향후 조치 계획.
158,TRAIN_00158,2023-12-21 오전 10:30,정규작업 -,맑음,2℃,20%,토목 / 도로 / 도로,-,-,물체에 맞음,없음,토목 > 도로 및 포장공사,가시설 > 거푸집,정리작업,도로 / 내부,거푸집 / 상부(위),작업자 부주의(현장상태 사전점검 미흡),"재해사례 전파교육, 현장 내 불필요한 자재 정리정돈, 스페이셔의 콘크리트 타설 높이까지만 설치 교육 실시."
161,TRAIN_00161,2023-12-21 오전 09:40,기타 -,맑음,-10℃,45%,건축 / 건축물 / 공동주택,"82,053.92㎡","지상 15층, 지하 2층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,건설자재 > 데크플레이트,이동,공동주택 / 지상 1층,데크플레이트 / 하부(아래),현장내 207동 지상1층 스라브(콘판넬) 상부 이동 중 중심을 잃고 넘어지면서 적재된 플러스데크에 왼발이 끼여 골절사고 발생,안전통행로 주변 자재적치 금지 및 결빙구간 제거.
162,TRAIN_00162,2023-12-21 오전 09:30,정규작업 -,맑음,3℃,60%,건축 / 건축물 / 근린생활시설,"1,000㎡","지상 22층, 지하 6층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,건설자재 > 철근,설치작업,근린생활시설 / 내부,철근 / 상부(위),2023년 12월 21일 9시 30분경 골조업체 소속 보통인부가 지하 3층 결빙구간 제거 작업 중 단순 넘어짐,철근 상부 통행 및 결빙구간 통행 시 손을 주머니에 넣고 통행 금지하며 전방을 주시하는 안전 수칙 준수와 추후 산업재해조사표 제출 예정.
165,TRAIN_00165,2023-12-21 오전 08:30,정규작업 -,맑음,-8℃,63%,건축 / 건축물 / 교육연구시설,"1,791.50㎡","지상 2층, 지하 0층",넘어짐(미끄러짐),없음,기계설비 > 기계설비공사,건설자재 > 자재,매설작업,교육연구시설 / 외부,자재 / 하부(아래),23.12.21 오전 8:30 건물 내부에서 외부로 자재를 이동하는 중 외부 현관의 콘크리트 바닥이 빙결되어 인부 1명이 미끄러져 옥외배관 터파기 한 곳에 낙상사고 발생,겨울철 지속 한파에 따른 현장 미끄럼방지 부직포 설치 및 빙판 제거 조치.
166,TRAIN_00166,2023-12-21 오전 08:30,정규작업 -,맑음,5℃,40%,건축 / 건축물 / 교육연구시설,"30,476.97㎡","지상 10층, 지하 1층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,기타 > 기타,타설작업,교육연구시설 / 외부,기타 / 바닥,보양 천막 위로 이동하던 중 미끄러짐,단독작업금지를 통한 작업 전 확인 및 주의사항 등 위험요소 상호 확인 후 작업 진행.
167,TRAIN_00167,2023-12-21 오전 08:00,정규작업 -,맑음,-14℃,68%,건축 / 건축물 / 공동주택,"70,276㎡","지상 24층, 지하 2층",물체에 맞음,낙하,건축 > 건축물 부대공사,기타 > 건설폐기물,청소작업,공동주택 / 외부,건설폐기물 / 목 과 어깨사이,작업반경 내 잔여 폐기물 정리,집게차 작업 시 작업 통제 반경을 장비 최대 제원의 2배 이상 설정하는 조치.
169,TRAIN_00169,2023-12-21 오전 07:30,정규작업 -,맑음,-4℃,0%,건축 / 건축물 / 공동주택,"94,898.75㎡","지상 23층, 지하 2층",넘어짐(미끄러짐),없음,기타 > 기타,기타 > 기타,이동,공동주택 / 주차장 바닥,기타 / 바닥,현장 점검 이동중 제설미흡으로 인한 결빙지역에서 바닥에 미끄러짐,기상상황 확인 후 협력사별 제설작업구획 지정 및 제설 진행과 위험요인 사전제거를 통한 재발 방지 대책.
170,TRAIN_00170,2023-12-20 오후 07:27,기타 -,맑음,-9℃,60%,토목 / 항만 / 호안,-,-,기타,기타,토목 > 항만공사,기타 > 기타,기타,호안 / 부두 앞 50m 해상,기타 / 부선,"원인불명(현재 해경 등 수사기관에서 원인 조사 중) 사유로 기상악화(풍랑주의보)로  인해 부두 근처에서 정박하여 계류 중이던 부선의 선미가 침몰하였고, 침몰을 인지한 승선원 역시 알 수 없는 이유로 탈출하지 않고 선실에 머물러 빠져나오지 못하여 사망하였음(동 항목 위의 사고원인 항목의 분류에는 명확히 해당하는 것이 없어 작업자 부주의로 선택하였음)","해상 장비 등에서 침수 발생 시 작업자가 즉시 탈출할 수 있도록 안전 교육을 실시하고, 수사기관의 원인 조사 결과에 따라 추가적인 재발 방지 대책을 수립할 계획."
171,TRAIN_00171,2023-12-20 오후 03:50,정규작업 -,맑음,5℃,50%,건축 / 건축물 / 공장,"977,427㎡","지상 8층, 지하 1층",넘어짐(기타),없음,전기설비 > 전기설비공사,기타 > 기타,운반작업,공장 / 내부,기타 / 바닥,유도원 통제가 되지 않다 재해자와 유도원의 의사소통 미흡,인력 양중 시 유도원 하부 통제와 상하부 의사소통 실시.
174,TRAIN_00174,2023-12-20 오후 02:20,정규작업 -,흐림,-2℃,64%,건축 / 건축물 / 공장,"62,935㎡","지상 9층, 지하 1층",넘어짐(미끄러짐),없음,기타 > 기타,기타 > 기타,운반작업,공장 / 내부,기타 / 바닥,소부재 운반관리 소홀,인력운반 최소화 방안.
178,TRAIN_00178,2023-12-20 오후 12:30,정규작업 -,흐림,-8℃,84%,건축 / 건축물 / 근린생활시설,162.21㎡,"지상 2층, 지하 0층",떨어짐(3미터 이상 ~ 5미터 미만),낙하,건축 > 철골공사,건설자재 > 데크플레이트,설치작업,근린생활시설 / 내부,데크플레이트 / 하부(아래),2층 철골빔 상부(높이3미터)에 데크플레이트를 인양하여 적재되어 있던 데크플레이트가 지지 미흡으로 깔기 작업 및 이동 중 떨어짐,"데크플레이트 운반 및 깔기 작업 시 가설통로, 안전대 부착설비 설치, 안전방망 설치 등 떨어짐 예방조치계획과 주변 개구부 방호 계획, 데크플레이트 설치 시 이탈 방지 조치 계획 재점검 및 근로자 교육 진행과 시공사에 유선상 계도를 포함한 향후 조치 계획."
181,TRAIN_00181,2023-12-20 오전 10:40,정규작업 -,맑음,-7℃,75%,건축 / 건축물 / 공동주택,"207,047.17㎡","지상 39층, 지하 2층",넘어짐(미끄러짐),없음,건축 > 방수공사,기타 > 기타,이동,공동주택 / 외부,기타 / 바닥,빙판길에 이동 중 미끄러 넘어짐,"바닥이 미끄러울 경우 보폭을 줄이고 불안정한 자세를 피하며, 제설 및 제빙작업을 실시하여 근로자가 안전하게 이동할 수 있도록 하는 재발 방지 대책과 향후 조치 계획의 일환으로 전 근로자에게 재해사례를 전파하고 주의하는 사항."
184,TRAIN_00184,2023-12-20 오전 10:00,정규작업 -,흐림,-9℃,45%,건축 / 건축물 / 교육연구시설,"16,399.89㎡","지상 5층, 지하 1층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,기타 > 기타,양중작업,교육연구시설 / 공사현장내,기타 / 자재야적장,눈내림으로 인한 지반 결빙상태 미인식,"작업전, 중, 후 작업장 상태를 지속적으로 점검하여 이상 징후 발생 시 조치 후 작업 실시."
187,TRAIN_00187,2023-12-20 오전 09:00,정규작업 -,강설,-7℃,0%,건축 / 건축물 / 운수시설,"22,051㎡","지상 3층, 지하 0층",넘어짐(미끄러짐),없음,건축 > 지붕 및 홈통공사,기타 > 기타,기타,운수시설 / 내부,기타 / 상부(위),빙판길 닉상(넘어짐),결빙 구간 안전 확인과 대체 건설사업관리기술인 투입 후 공사 추진 및 사고자의 수술 후 경과 관찰.
193,TRAIN_00193,2023-12-19 오후 04:05,정규작업 -,흐림,12℃,30%,건축 / 건축물 / 공동주택,"53,470.86㎡","지상 25층, 지하 3층",끼임,없음,건축 > 건축 토공사,건설기계 > 항타 및 항발기,이동,공동주택 / 외부,항타 및 항발기 / 항타기 공기압축기 에어방음벽과 PHC파일 시공완료 지점,PHC파일 근입 후 되메우기 완료구간 우천으로 지반 침하 및 재해자 부주의,"해당 작업에 대한 작업절차 및 위험요인에 대한 특별안전보건교육 실시, PHC 파일 근입 후 되메우기 완료 구간 우천으로 인한 지반 침하 여부 사전 확인, 개구부 덮개 설치 등 발빠짐 사고 예방대책 수립, 향후 위험성 평가 회의, 특별안전보건교육 및 안전 점검 실시."
