,Unnamed: 0,사고원인,재발방지대책 및 향후조치계획
10,36,구체적인 사고원인이 확인 불가능하여 경찰 및 한국산업안전보건공단 사고조사팀 조사 중,재발 방지를 위한 근로자 안전 관리 철저와 산업재해 여부 조사 결과에 따른 안전 관련 행정 지도 조치 예정.
11,39,주차장 램프 시스템비계 위에서 치장벽돌 쌓기 작업 중 작업도구를 가지러 비계발판에서 창호쪽으로 이동하던 중 미끄러지면서  비계와 발판 사이로 빠지면서 좌측 가슴부위를 창호 인방 모서리에 부딪힌 사고,"비계의 안전난간대 임의해체 금지, 안전난간대 해체 시 비계와 벽체 사이의 발빠짐이나 추락을 예방할 수 있는 작업발판 추가 설치, 비계 상부 작업자의 안전대 착용 및 고리체결 상태 유지, 사고 원인 조사에 따른 동종 재해 예방 대책에 대한 근로자 대상 안전교육 실시, 시공자의 안전관리업무 강화 지시 및 발주자/건설사업관리단 현장 안전점검 실시 예정."
12,41,1층 바닥 슬라브 거푸집 눈 대비 천막 보양 작업 중 부주위에 의한 사고,"TBM 및 정기안전교육을 통한 지속적인 안전교육 실시와 공사현장 안전관리 철저, 재발방지대책 수립."
13,58,지상 3층 A존 천정 경량골조 사이즈 실측 후 말비계에서 내려오던 중 바닥에 디딤과 미끄러지면서 왼쪽 발을 접지름.,"법 기준에 적합한 작업발판 사용, 작업구간 정리정돈 및 바닥 상태 확인, 관련 재해사례 전 공종 TBM 및 소규모 TBM 시 전파교육 실시, 현장 안전관리 강화 및 안전교육 철저 시행."
14,59,사다리 위에서 실리콘 작업을 마치고 내려오던 중 미끄러져 넘어지면서 안전모가 벗겨져 머리쪽에 창상이 발생함,"이동식 사다리 사용 시 2인 1조 작업 및 최상부 발판에서 작업 금지, 안전수칙 준수 및 위험 요인에 대한 안전교육 철저."
15,60,"난간 도장시 불안전한 자세로 무리하게 도장작업을 진행하다가 사고가 발생함(상체를 숙이지 않고, 사다리를 이용하거나 틈 사이로 손을 집어넣어 작업이 가능한 상태였음)",사고사례 작업자 교육 실시와 난간대 도장작업 시 사다리 사용 조치에 따른 향후 작업자 통원치료 계획 및 산재처리 요청 대응 예정.
16,61,"매일 아침TBM 시간에 현장 내 결빙 구간 미끄럼 위험에 관하여 전파 및 교육을 진행 하였으나, 작업자의 부주의한 행동으로 인해 발생",아침조회시간 및 각 공종별 TBM 시간에 사고사례를 전파하고 비슷한 재해가 발생하지 않도록 교육 실시.
17,62,"작업자서, 동작의 결함, 인적요인(고령 73세)- '23년 12월 27일 14시경 현장에서 1톤 진동롤러를 수동으로 시동을 걸다 회전하는 스타팅 핸들에 오른손 새끼손가락 및 손등 부딪힌 사고로 작업의 환경적 요인(동작의 결함)에 의해 사고 발생","작업방법 개선 및 위험예지훈련 강화, 사고내용 공유 및 작업이행상태 관리 강화와 함께 동종 작업시 사고사례 전파 및 작업방법 교육 강화를 통한 향후 조치 계획."
18,63,천정해체/정리작업 중 공사현장 정리정돈 상태를 충분히 확인하지 않은 채 작업하여 물체 낙하를 예상하지 못하여 상해를 입음.,"안전교육과 작업전 TBM을 통한 상황전파, 작업장 정리정돈 및 작업환경 사전 확인 후 작업 실시, 관리감독자의 개인보호구 착용 여부 수시 관리감독, 치료 적극 지원과 향후 유사공종 및 위험공종 근로자 작업 투입 및 작업기간 동안 작업환경 지속적 관리감독."
19,66,장비 근로자 동시작업중 근로자를 인지하지 못한 장비에 의해 안전사고 발생,"장비 카메라 각도 조정, 장비-근로자 동시작업 금지, 재발 방지 대책 이행 철저 및 안전교육 시행."
20,68,철골작업을 위해 부재에 샤클을 체결하여 인양하는 작업 추진 중 자재의 전도로 재해자의 왼쪽 발등에 얹힘으로서 사고 발생,"작업지휘자 교육 실시, 보조요원 추가 배치, 작업자 안전의식 강화 교육, 위험요인별 위험성 평가 강화 및 대책 이행 철저, 현장 작업자 안전교육 강화, 혹한기 작업자 온수 제공 등 안전관리 철저."
21,70,화장실 PIT 터파기구간 청소작업중 결빙구간에 미끄러지면서 발목이 접질려서 발목골절 재해 발생함,바닥 물기나 기름 즉시 제거와 동절기 안전사고 관련 안전교육 및 작업자 동선 안전관리 철저 지시를 통한 재발 방지 대책 마련.
22,73,내부 계단 현장 내 조도 미확보 및 결빙구간 방치로 인해 미끄러져 넘어지면서 어깨 탈골,"계단 내 조도 확보 및 결빙구간 삭제 조치, 작업자 사고내용 전파와 안전환경 제공 및 작업 전 작업환경 점검 실시 요청의 통합적 실행."
23,75,타워크레인 부위 H빔 설치 시 작업공간이 부족하여 지그 끝단에  H빔을 올리고 작업 중 바깥으로 기울어지는 H빔을 잡으려다 왼쪽손목 협착,간섭이 발생하는 구간에 3Ton 크레인으로 양중하고 T/L 2대를 사용 설치하는 대책과 조치 계획.
24,76,재해자가 104동 1코어 17층 세대 내부 벽체 견출 작업을 마치고 계단실로 이동하던 중 왼손에는 사모래통(10L 내 ¾ 정도 들어있었음) 오른손에는 미장용 칼(고대) 를 들고있는 상태에서 바닥이 얼음이 얼어있는 것을 인지하지 못하고 계단참 입구에서 넘어지면서 오른손 손목을 미장용칼이랑 같이 짚으면서 손목이 골절됨,"사고사례 공유 및 특별안전교육 진행, SWPM회의를 통한 사고사례 전파, 자재 및 도구 운반 시 한손으로 들도록 작업자 교육, 전체 근로자에게 밴드형 아이젠 지급 및 착용 교육, 계단실 일일 점검 및 결빙 시 제거 조치의 시행."
25,78,축사현장 H빔 설치 작업중 크레인실링바에서 H빔 낙하하여 사고 낙하원인 알수 없음,사고 원인인 기계장비 관리의 설치 및 해체 과정에 대한 세심한 관리와 공사 전 안전교육의 강화로 재발 방지에 최선을 다할 계획.
26,82,언제: 2024년 12월 26일 14시경어디서: 동측 휀스 내부누가 : 000(안전관리자 46세)무엇을 : 휀스내 안전 현수막 설치어떻게: 바득으로부터 115cm 위 전기 분전함 위에서 뛰어 내리다 착지 후 무릎에 충격 발생왜 : 승강 사다리 등을 설치하지 않고 작업,"재발 방지 대책으로 승강 사다리 또는 말비계 설치와 관리자의 안전의식 재교육, 아침 조회 및 TBM을 통한 사고 사례 전파와 안전의식 제고 교육이 필요하며, 향후 안전관리자 교체에 따른 현장 안전관리 교육 및 철저한 안전 관리가 요구됨."
27,83,"판넬 절단 작업시 2인1조 작업 미 준수 및 작업대 미사용, 절단 작업 기준 미준수","2인 1조 작업 실시, 절단 자재 고정을 위한 고정 바이스 사용, 미숙련공 작업 금지, 현장 점검 및 시공사와 감리사 안전교육 실시."
28,85,토사 천공이르 예측하여 오거 천공하였으나 크고작은 호박돌이 오거에 끼여 제거 작업 중 손가락 끼임 사고 발생,"근로자 특별안전교육 실시와 호박석 끼임시 적절한 도구 사용 교육, 근로자 퇴원 후 경과조치 마련."
29,87,2023년 12월 26일 11:00분경 작업 종료 후 신호수가 유도하여 궤도식 렌탈(작업대에 조작장치가 있음)을 타고 이동하던 중 102동 103동 사이 슬라브(콘크리트 바닥) 단차부에 작업대가 걸려 반동으로 인하여 운전자가 떨어져 발생한 재해.,"관리감독자 및 작업지휘자의 현장 상주, 작업 전 신호수 및 관리감독자의 지반상태 점검, 실작업상황에 맞는 위험성 평가, 전 작업자에 대한 사고사례 전파 및 특별안전교육 실시."
30,95,작업자가 양손에 작업 공구를 들고 작업발판을 내려오다 발을 헛디뎌 넘어지며 손목에 골절 발생,"작업 전 말비계 안전작업 지침과 안전작업 절차에 대한 안전교육 실시, 작업자의 안전한 관리를 위한 관리작업자의 상주 감독, 미장 작업 시 2인 1조 작업 관리 감독, 재해자의 치료 경과 및 신청에 따른 산업재해 처리, 동일 사고 발생 예방을 위한 재발 방지 대책 실시."
31,97,106동 필로티에서 조적작업을 위해 점화된 고체연료를 이용하여 예열 중 고체연료를 등지고 전동믹서기를 수리하다가 옷이 화구에 근접하여 불이 옮겨 붙어 재해 발생(2도 화상),"고체연료 점화 시 방열판을 사용하여 불에 직접적으로 노출되지 않도록 보완하고, 정기안전교육 실시 및 고체연료 취급 작업 전 T.B.M 진행 시 고체연료 취급방법 및 작업절차에 대한 교육을 실시하는 조치."
32,98,"작업전 작업물(크레인 와이어)을 제대로 고정하지 않고 작업 하였고, 불안정한 자세로 작업을 진행하여 결과적으로 작업자의 부주의로 이어졌음.",재해 예방을 위한 교육 및 작업 안전 지침의 전파와 작업 전 전용 공구 사용 및 안정적인 자세 유지를 통한 안전 확보.
33,104,휴일작업 금지날 임의로 현장 출입하여 자재정리정돈 및 현장 주변 야적장으로 지게차 운반작업중 지게발에서 자재가 떨어져 신호수의 발등에 상해를 입힘,장비 작업 시 일정 거리 확보와 자재를 파렛트에 고정 및 결속하여 상차하는 재발 방지 대책과 사업단을 통한 휴일 작업 금지 특별교육 및 신호수 특별교육 실시의 향후 조치 계획.
34,108,작업자가 23일에 46kg정도의 산소통을 혼자서 인양하다가 허리를 삐끗하였으나 큰 통증이없어 작업을 진행하였고 25일에 휴식중 허리통증이 생겨 움직이지 못하는 근골격계 질환 발생,작업 시 2인1조로 철저히 수행하고 근골격계질환 10대 수칙 교육 및 현장 점검을 강화하는 대책.
35,109,복공판 하부 합벽지지대 해체 작업 후 내려오기 위해 합벽지지대 중간에 설치된 수평 파이프를 손으로 지지할 때 수평파이프가 고정이 되어 있지 않아 중심을 잃고 1M높이에서 추락,해당 작업팀의 사고 사례 전파 및 재해 방지 교육 실시와 위험성 평가 내용 추가에 의한 지속 관리.
36,119,자재(파이프) 운반 중 눈길에 미끌어져 넘어지면서 콘크리트 타설을 위해 설치해놓은 철근에 찔림,작업 시작 전 작업공간 내 미끄러짐 유발 요인 제거와 작업자 안전수칙 교육 실시를 통한 사고 예방 조치.
37,126,"새벽 강설로 인해 자재 표면이 얼어 있어 정리중인 자재가 미끌어 짐, 자재 적재 후 적치물 표면 이물질 제거 미흡","안전사고 예방을 위한 교육 실시와 환경 정비, 안전교육 철저 및 안전의식 고취, 작업장 정리 정돈 철저."
38,127,2023년 12월 23일 오전 09시30분경 옥상층 바닥 슬라브에서 슬라브 상부 철근에 걸려 넘어져 철근에 우측손목을 짚다가 재해 발생,"작업구간 실족방지망 설치, 안전보호구 착용 관련 안전교육 실시 및 해당 작업 관련 위험성 교육과 작업 전 충분한 작업 준비, 관리 감독 철저."
39,128,"비계 난간대 수정작업 중, 작업자의 부주의로 해체 위치를 미확인하고 클램프를 해체하여 결속되어 있던 자재 하강","근로자 교육 실시와 전 근로자 사고내용 공유 및 주의사항 전파, 해당 사고사례 교육을 통한 동일 및 유사재해 예방."
40,129,피해자가 기계실 PIT에서 철근배근 작업 중 이동하다 옹벽 수평철근에 오른쪽 눈꺼풀을 찔림,"작업자 안전교육 실시와 소규모 TBM(작업 전 안전점검) 시행을 통해 작업 시 안전장비 착용 및 위험요소 확인을 철저히 하며, 안전관리자는 작업자 위치를 확인하고 지속적으로 감독하여 수평철근 등 위험요소를 사전 점검하여 최소화하고 유사 사고사례를 전파 및 교육하는 조치."
41,131,강풍에 의하여 컨테이너 문이 닫히지 않도록 조치 하지 않아 컨테이너 문이 닫히면서 손가락 협착됨.,문 닫힘 방지 고리 설치와 TBM 시 사고사례 전파교육 실시를 통한 재발 방지 대책 및 향후 조치 계획.
42,132,CPB개구부 유로폼을 받치는 잭서포트가 4개가 받치고 있어야 했으나 2개만 설치된 상태,"CPB 개구부 작업 전 하부 서포트 설치상태 확인 및 공종 별 작업지휘자 특별교육 실시, 사고 발생 공종 특별교육, 관리감독자 배치에 의한 철저한 감독, T.B.M.을 통한 지속적인 위험요소 교육 실시."
43,133,작업자 안전고리 미체결 / 신호수 상황 인지하지 못한 상태에서 장비 운전원에게 신호,"T.B.M 사고 내용 공유 및 안전대 착용과 안전고리 체결 관련 강조 교육 실시, 장비와 작업자, 신호수 간 신호 체계 확립, 안전관리 교육 강화."
44,134,지하1층 바닥슬래브 철근배근구간 이동중 미끄러져 철근사이로 발이 빠져 오른쪽 발목부위 다침,"작업자 이동 발판 설치, 전체 안전교육 실시, 지속적인 현장 안전관리 모니터링 및 안전교육 강화."
45,135,2023년 12월22일 13시30분경 구조물공(전석쌓기) 시공 중 목재(규준들)가 넘어지면서 근자자의 어깨를 가격하여 근로자가 상해를 당함.,"현재 공정에 관한 위험성 평가와 관리자 및 근로자 특별안전교육, 작업전 T.B.M 실시를 통한 사고 재발 방지 조치."
46,137,작업자 임의작업(가설 컨테이너 사무실 설치작업 시 2단 컨테이너 설치 중 1단 컨테이너에 사다리를 일자로 불안전 거치하여 올라서서 작업 중 추락 및 전도위험),가설컨테이너사무실 설치 시 말비계 등 작업발판과 A형 사다리에 아웃리거를 설치하고 보조자의 지지를 받으며 작업하는 안전교육의 철저한 이행.
47,144,"재해자가 항타기 천공작업 중 오거의 미작동으로 인하여 항타기 조종석 옆 윈치 구역에서 와이어로프를 확인하던 중, 갑작스러운 스크류 오거 작동으로 재해자가 밟고 있던 와이어로프가 움직이면서 접촉 충격으로 인해 재해자가 항타기 외부로 떨어짐","안전교육 철저 및 TBM 시 위험성 요인 전파와 공유 실시, 장비 미작동 발생 시 전문업체 기술자를 통한 점검 실시, 국토교통부와 고용노동부의 세부조사 결과 확인 후 행정조치 여부 검토."
48,148,가시설공사중 항타기 이동을 위해 바닥에 깔린 철판을 인양하여 옮기던중 철판이 가시설 H-beam과 부딪히면서 흔들렸고 그과정에서 항타기 바깥으로 우측발을 내밀고 있던 장비기사의 우측발이 철판과 차체 사이에 끼이면서 우측 발목이 골절 되는 재해 발생,"장비 운전원 작업 시 문을 닫고 안전벨트를 착용하도록 안전교육을 실시하며, 향후 안전점검을 수시로 확인할 계획."
49,149,2단 이상 구조틀 적재 및 작업을 서두르기 위해 급하게 이동 중 재해 발생.,"작업공간 확보와 정리정돈, 중량물 2단 적재 지양, 관련 재해사례 전파교육 실시, 안전관리 철저 및 안전교육 시행."
50,152,1) 상호간의 신호체계가 미흡한 상태에서 작업 2) 손가락 끼임에 대한 인지 미흡,사고사례 근로자 교육 실시와 상호 간의 신호체계 확립을 통한 재발 방지 대책 및 재해자 회복 여부 확인과 근로자 교육 실시를 포함한 향후 조치 계획.
51,153,협력사 2층 컨테이너에 방문 후 내려오던 중 가설계단에서 미끄러져 넘어지면서 오른쪽 옆구리가 계단 턱에 부딪쳐 갈비뼈가 골절됨.,"재발 방지를 위한 전파교육 실시, 미끄럼 방지조치 확인, 수시 위험성 평가 및 관리 실시, 철저한 향후 조치 계획 수립."
52,155,당 사고는 살수차 작업자가 살수차  물탱크 측면 아래에 있는   물호스(자바라)를  물탱크 상부로 옮기는 과정에서 중심을 잃고 아래 바닥으로 떨어진 사고임,"정기교육 및 특수형태근로종사자교육 실시와 근로자 안전교육 강화, 건설사고 발생에 따른 현장 안전관리 철저를 위한 공문 발송 예정."
53,162,2023년 12월 21일 9시 30분경 골조업체 소속 보통인부가 지하 3층 결빙구간 제거 작업 중 단순 넘어짐,철근 상부 통행 및 결빙구간 통행 시 손을 주머니에 넣고 통행 금지하며 전방을 주시하는 안전 수칙 준수와 추후 산업재해조사표 제출 예정.
54,170,"원인불명(현재 해경 등 수사기관에서 원인 조사 중) 사유로 기상악화(풍랑주의보)로  인해 부두 근처에서 정박하여 계류 중이던 부선의 선미가 침몰하였고, 침몰을 인지한 승선원 역시 알 수 없는 이유로 탈출하지 않고 선실에 머물러 빠져나오지 못하여 사망하였음(동 항목 위의 사고원인 항목의 분류에는 명확히 해당하는 것이 없어 작업자 부주의로 선택하였음)","해상 장비 등에서 침수 발생 시 작업자가 즉시 탈출할 수 있도록 안전 교육을 실시하고, 수사기관의 원인 조사 결과에 따라 추가적인 재발 방지 대책을 수립할 계획."
55,177,- E/L PIT 바닥면 방수 보호타설작업 준비하기 위해 E/L PIT 내로내려 가던중 넘어져 두부를 다친상황,"재해 발생 구간 조도 확보 및 승강 시설 고정 설치, 단독 작업 금지 및 밀폐 공간 작업에 대한 사전 작업 계획 확보, 규근로자 안전 교육 철저, 작업 투입 전 작업 방법 확인 및 작업 내용 숙지."
56,178,2층 철골빔 상부(높이3미터)에 데크플레이트를 인양하여 적재되어 있던 데크플레이트가 지지 미흡으로 깔기 작업 및 이동 중 떨어짐,"데크플레이트 운반 및 깔기 작업 시 가설통로, 안전대 부착설비 설치, 안전방망 설치 등 떨어짐 예방조치계획과 주변 개구부 방호 계획, 데크플레이트 설치 시 이탈 방지 조치 계획 재점검 및 근로자 교육 진행과 시공사에 유선상 계도를 포함한 향후 조치 계획."
57,180,하천 구조물 신설을 위해 하부의 기존 구조물 철거하는 과정에서 노출된 그라인더 절단 작업중 절단된 철근이 튀어 재해자 손가락에 맞는  사고 발생,"근로자 안전교육 강화, 동일 작업 시 작업자 추가배치에 의한 2인1조 작업, 직압빙밥 개선 및 보호구 착용 철저."
58,183,덤프트럭 적재함 후면 토사(흙) 청소 근로자가 부러진 빗자루를 임의로 수리하던 중 쪽가위에 왼손 엄지손가락을 찔림,자재와 공구에 대한 미숙련 근로자의 임의수리 금지와 해당 공종 전체 근로자 및 관리감독자의 특별안전교육 실시를 통한 안전교육 철저.
59,185,옥탑 벽체 철근배근 조립 후 접이식 비계에서 내려올 때 발뒷꿈치를 바닥에 부딪혀 골절됨,"작업 전 안전관리 교육 실시, 당일 작업 내용 숙지, 개인 보호구 착용 철저, 충분한 준비 운동을 통한 재해 예방 및 동절기 공사 근골격계 재해 예방 조치."
60,192,"지하1층 가시설 해체작업중 안전모, 안전벨트, 안전화 등을 착용하였으나, 안전벨트 체결은 하지 못한 상태에서   빔 위로 이동하던 중 몸의 균형을 잃고 5m아래로 추락한 사고","안전벨트 체결을 위한 안전 시설물 설치와 선안전, 후시공 원칙 준수를 통한 근로자 안전 관리."
61,193,PHC파일 근입 후 되메우기 완료구간 우천으로 지반 침하 및 재해자 부주의,"해당 작업에 대한 작업절차 및 위험요인에 대한 특별안전보건교육 실시, PHC 파일 근입 후 되메우기 완료 구간 우천으로 인한 지반 침하 여부 사전 확인, 개구부 덮개 설치 등 발빠짐 사고 예방대책 수립, 향후 위험성 평가 회의, 특별안전보건교육 및 안전 점검 실시."
62,195,"1톤 트럭과 1톤 롤러가 서로 후진하면서, 피해자가 1톤 롤러 손잡이와 1톤 트럭 후미 사이에 끼임.","근로자 특별교육, 1톤 트럭 후방카메라 설치, 작업방법 개선을 통한 사고예방 대책 수립 및 작업자 안전교육 지시."
63,198,"충분한 스트레칭을 하지 않아 신체 부하로 인한 근육 손상, 무리한 작업 동작","충분한 스트레칭 실시와 신체 부담에 대한 지속적인 교육, 안전교육 철저를 통한 재발 방지 대책."
64,199,유로폼 해제 작업간 떨어진 작업공구(빠루)가 사고자의 안면을 스치듯 타격함,"작업 전 안전교육 실시, 작업 중 위해요소 점검, 작업 후 공구 및 자재 정리 지시, 일일 단위 공사 시작 전 위해요소 사전 확인 및 차단, 위험공종 작업 시 현장 통제 진행."
65,201,2023년 12월 19일(화) 당 현장 Gate 1번 부근 우수 맨홀(No.88) 설치 작업 중 맨홀을 인양하기 위한 인양고리를 탈·부착 하는 중 장비의 버켓에 왼쪽 팔이 눌려 일어난 사고,장비 작업 시 신호수 배치를 통한 주변 근로자 출입 통제와 중량물 취급 및 줄걸이 작업 시 장비와 작업자 간 소통 교육 실시.
66,202,누름 타설작업을 위해 압송관 배관을 정리 중 배관을 내려놓으면서 밑에 받침목(오비끼)가 있는지 모르고 내려놔 받침목과 압송관 사이에 손가락이 끼임.,"압송관 이동 작업 시 배관이 지면과 닿지 않도록 작업반경 변경, 관리감독자 주관 특별안전교육 실시 및 작업 전 개별 TBM 실시, 수시 위험성 평가 반영과 현장 확인 및 관리 실시, 재발 방지 철저 지시."
67,204,"소화전물탱크실 방수 작업 중 안전보호구 착용하였으나, 미끄러짐으로 인해 경상","작업 전 작업구간 위험요소(추락, 미끄럼) 관리자가 직접 확인 후 작업자 투입, 이동 및 작업구간 정리정돈과 충분한 조도 확보."
68,205,"절토사면 계단식 옹벽(총14단, 1단 1.5m)의 외벽에 어스앵커 설치를 위한 천공작업 중, 크레인에 달린 작업대차에 탑승한 근로자가 크레인 붐대 흔들림으로 인해 3m 하부로 추락","작업장 작업여건 개선, 투입장비 사전점검, 작업대차 안전설비 증강, 작업자 교육, 작업계획서 이행 점검, 감독원의 철저한 감독, 안전환경 개선, 근로자 교육 및 개인보호구 착용 점검, 작업장 사전점검 및 관리감독 철저."
69,214,겨울철 추운날씨에 충분항 몸풀기를 하지않은상태에서 갑자기 무거운 물건을 들어올리는과정에서 근육손상,겨울철 충분한 몸풀기 시행과 중량물 취급 시 2인 1조 작업을 통한 재발 방지 대책 및 공사현장 행정지도 계획.
70,217,1. 옆 근로자와 안전거리 미확보 상태 작업2. 스프레이류 사용전 분사상태 미확인 (재해자 보안경 미착용),"작업 전 관리자 주간 하에 TBM 실시 및 개인보호구 착용 상태 확인, 특별안전교육 진행 및 스프레이류 작업에 관한 교육 실시, 작업 전 분사 상태 확인 후 작업 실시."
71,220,116동 지상 1층 바닥에서 재해자가 거푸집 제거 작업 중 Con'c 잔재물이 왼쪽 눈 주변에 튐,"작업 전 잔재물 정리, 보안경 일체형 안전모 지급 및 착용, 아침조회 시 사고 발생 관련 전파와 안전조치 강화에 따른 동일 사고 발생 방지."
72,222,철거대상물(미서기목문)을 바닥에 적치하지않고 벽에 세워둬 대상물이 쓰러진 사고임,특별안전교육 및 T.B.M을 통한 작업자 안전의식 고취와 철거 중 주변 정리정돈 철저를 포함한 재발 방지 대책과 향후 반복적인 안전교육 및 주변 정리정돈 철저 지시의 실행.
73,223,포항-안동1-1(1공구) 내 일광2교 P1(교각) 기초 터파기 구간의 양수작업 후 인부 3인이 협력하여 양수기호스 정리를 하던 중 양수호스 끝단 노즈부 철물에 손가락을 부딪혀 타박상 발생,작업 투입 전 근로자 안전교육 철저와 공사담당자 및 안전관리자의 현장점검 및 관리 강화를 통한 작업 시 및 후 안전 확보.
74,224,"조작원의 토사운반용 대차 조작 지연 및 인하여 재해자 1명은 대차에 부딪히고, 또 다른 재해자는 로프에 오른쪽 손목이 꺽임","재발 방지 대책과 향후 조치 계획으로 작업 시작 전 T.B.M 실시, 상호 신호체계 확인, 동종 재해 예방을 위한 작업계획서 세부 작성 및 전 근로자 사고사례 교육 실시, 동종 및 휴사 재해 예방을 위한 근로자 특별안전보건교육 실시, 작업 간 신호체계 확립 및 교육, 관리감독자 상주 관리가 포함됨."
75,225,"1. 작업 전 주변 위험요인 파악 후 작업하였으나, 타공정 작업자와의 소통 부재2. 알폼 작업자와의 작업 위치 미협의로 인한 혼재된 공간에서의 작업 진행 중 사고","작업 전 주변 위험 요인 파악 및 정리, 주변 타공정 작업 시 위험 상황 공유, 안전 교육 철저 및 현장 수시 확인을 통한 안전 관리 강화."
76,226,횡배수관 도수로 거푸집 해체 작업 중재해자 쏨욧이 횡배수관 도수로 덮개의 거푸집 해체 작업 중 떨어지는 사각 강파이프에바닥을 짚고 있던 왼손의 가운데 손가락을 맞아 골절된 재해면서 유로폼에 재해자의 우측 손가락이 맞음.,유사사고 방지를 위한 실질적인 재발 방지 대책으로 거푸집 해체 작업 시 작업 방법 및 순서 준수에 대한 교육 실시와 동일 사고 발생 방지를 위한 특별 안전 교육 실시.
77,227,빠르게 이동하기 위하여 근로자 이동통로를 이용하지 않고 수직철근 시공장소를 가로질러 가다가 사고 발생,"관리감독자의 수시 점검 활동 강화와 2인 1조 작업 실시 교육, 작업 전 TBM 시 작업 방법 교육 및 근로자 통행로 추가 확보를 통한 근로자의 불안전한 행동 예방."
78,229,교량 상부에서 안전난간 설치를 위해 작업발판을 설치하는 작업중 안전고리를 체결할수 있는 환경이 되지 못하여 작업자에게  지면에 서서 상부 작업발판을 조립하도록 지시하였으나 관리감독자가 자리를 비웠을때 작업을 빨리 끝내기 위해서 강재폼 상부에서 작업발판을 작업자가 직접받아 설치하던중 발을 헛디뎌 추락하여 엉덩이 둔부골절 추정(현재 병원진단중),고소작업자 특별안전교육 실시 및 관리감독자 배치 후 유사한 사고 발생 방지를 위한 안전관리 지시.
79,232,자재운반 중 발 미끄러짐에 의해 땅에서 60cm 높이의 시스템비계수평파이프에 흉부 부딫힘,결빙구간 발생 시 원청으로 전달하고 선 안전조치 후 작업하도록 교육하는 재발 방지 대책과 정기안전교육을 통해 모든 작업자에게 결빙구간 발생 시 선조치 후 작업을 교육하는 향후 조치 계획.
